text,lemmas,ngrams,named_ents,sentiment
The completion of the recycling plant is an important link in the chain of creating a waste management system in the Dubna region that meets the EU standards .,"['completion', 'recycling', 'plant', 'important', 'link', 'chain', 'create', 'waste', 'management', 'system', 'region', 'meet', 'standard']",['important_link'],[],positive
Net profit was 35.5 mln compared with 29.8 mln .,"['net', 'profit', 'mln', 'compare', 'mln']",['net_profit'],[],positive
"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years .","['accord', 'bank', 'aim', 'triple', 'number', 'customer', 'year']",[],"['Jussi_Laitinen/PERSON', 'Finland/GPE']",positive
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,"['amending', 'proposal', 'simplify', 'propose', 'plan', 'increase', 'incentive', 'key', 'employee', 'stay']","['propose_plan', 'key_employee']",[],positive
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .","['base', 'quarter', 'result', 'exist', 'order', 'backlog', 'new', 'order', 'prospect', 'company', 'expect', 'year', 'sale', 'contract', 'gross', 'margin', 'stay', 'healthy', 'level', 'operating', 'profit', 'margin', 'low', 'low', 'sale', 'volume']","['first_quarter', 'first_quarter_result', 'exist_order', 'exist_order_backlog', 'new_order', 'new_order_prospect', 'gross_margin', 'healthy_level', 'low_sale', 'low_sale_volume']",[],negative
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,"['agreement', 'focus', 'supplier', 'pipettor', 'disposable', 'pipettor', 'tip', 'customer']","['disposable_pipettor', 'disposable_pipettor_tip']",[],positive
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .","['association', 'datum', 'cover', 'sale', 'figure', 'small', 'local', 'brewery', 'sale', 'import', 'beer', 'product', 'actual', 'market', 'share', 'member', 'small', 'give', 'report']","['cover_sale', 'cover_sale_figure', 'local_brewery', 'import_beer', 'import_beer_product', 'actual_market', 'actual_market_share']",[],negative
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,"['ponsse', 'project', 'forest', 'machine', 'market', 'improve', 'expect', 'previous', 'year']",['previous_year'],[],positive
"That 's what I go to bed worrying about every night , ' he said .","['bed', 'worry', 'night', 'say']",[],[],negative
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,"['operate', 'result', 'include', 'non', 'recurring', 'item', 'rise', '146mn', 'loss', '267mn']","['operate_result', 'recurring_item']",[],positive
The reduction notice applied to 17 people .,"['reduction', 'notice', 'apply', 'people']",[],[],negative
"'' The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .","['priority', 'strengthen', 'company', 'balance', 'sheet', 'increase', 'cash', 'flow', 'say']","['increase_cash', 'increase_cash_flow']",['Hannu_Krook/PERSON'],positive
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .","['cut', 'job', 'unit']",[],"['Tampere/GPE', 'Nastola/PERSON', 'Finland/GPE']",negative
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .","['operating', 'loss', 'total', 'compare', 'loss', 'corresponding', 'period']",['corresponding_period'],[],negative
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,"['announce', 'sign', 'agreement', 'supply', 'suction', 'anchor', 'unit']",[],['Finland/GPE'],positive
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,"['operating', 'loss', 'total', '25mn', 'compare', 'profit', '63mn', 'corresponding', 'period']",['corresponding_period'],[],negative
"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .","['lead', 'production', 'turn', 'increase', 'tonne', 'twofold', 'increase', 'current', 'capacity', 'level', 'say']","['twofold_increase', 'current_capacity', 'current_capacity_level']",['Zahariev/PERSON'],positive
"Managing Director 's comments '' Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .","['manage', 'comment', 'net', 'sale', 'quarter', 'notably', 'low', 'year', 'especially', 'baltic', 'country']","['net_sale', 'first_quarter', 'baltic_country']","['Finland/GPE', 'Russia/GPE']",negative
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,"['upm', 'stock', 'fall', 'percent', 'euro', 'early', 'afternoon', 'trading']","['upm_stock', 'early_afternoon', 'early_afternoon_trading']",['Helsinki/GPE'],negative
"'' Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .","['lining', 'stone', 'sale', 'good', 'early', 'autumn', 'order', 'book', 'strong', 'end', 'year']",['early_autumn'],[],positive
Acquisitions have been made and businesses have been well integrated .,"['acquisition', 'business', 'integrate']",[],[],positive
"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .","['evident', 'liquid', 'handling', 'business', 'particularly', 'area', 'primarily']",[],[],positive
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .","['earning', 'share', 'see']",[],[],positive
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,"['leakage', 'gypsum', 'pond', 'detect', 'today']",['detect_today'],['Talvivaara/PERSON'],negative
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .","['operate', 'profit', 'exclude', 'non', 'recurring', 'item', 'total']","['operate_profit', 'recurring_item']",[],negative
"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .","['employ', 'abroad', 'unit', 'record', 'quarter', 'sale', 'mln', 'eur', 'operating', 'loss', 'mln', 'eur']",[],['Finland/GPE'],negative
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,"['operating', 'loss', 'total', 'compare', 'profit', 'corresponding', 'period']",['corresponding_period'],[],negative
Revenue grew 12 percent to ( x20ac ) 3.6 billion ( US$ 4.5 billion ) .,"['revenue', 'grow', 'percent']",[],[],positive
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .","['government', 'sign', 'cooperation', 'memorandum', 'set', 'techno', 'park', 'production', 'zone', 'village', 'suburb']",[],"['Technopolis/PERSON', 'St._Petersburg/GPE', 'Strelny/PERSON', 'St._Petersburg/GPE']",positive
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .","['finnish', 'electronics', 'contract', 'manufacturer', 'report', 'net', 'sale']","['finnish_electronics', 'finnish_electronics_contract', 'finnish_electronics_contract_manufacturer', 'net_sale']",[],negative
The company initially estimated that it would cut up to 30 jobs .,"['company', 'initially', 'estimate', 'cut', 'job']",[],[],negative
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"['operate', 'profit', 'rise', 'corresponding', 'period', 'represent', 'net', 'sale']","['operate_profit', 'corresponding_period', 'net_sale']",[],positive
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .","['company', 'say', 'sign', 'agreement', 'finnish', 'window', 'maker', 'build', 'window', 'plant', 'southern']","['finnish_window', 'finnish_window_maker']","['Ky/GPE', 'Forssa/GPE', 'Finland/GPE']",positive
"In Q1 of 2009 , Bank of +_land 's net interest income weakened by 10 % to EUR 9.1 mn .","['+', 'land', 'net', 'interest', 'income', 'weaken']","['net_interest', 'net_interest_income']",[],negative
The measures result from weak demand in the shipbuilding industry .,"['measure', 'result', 'weak', 'demand', 'shipbuilding', 'industry']",['weak_demand'],[],negative
"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .","['raw', 'material', 'price', 'surge', 'past', 'year', 'fuel', 'rapid', 'industrialization', 'develop', 'nation']","['raw_material', 'raw_material_price', 'past_year', 'rapid_industrialization', 'develop_nation']","['China/GPE', 'India/GPE']",negative
"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .","['baltic', 'country', 'development', 'operation', 'reorganisation', 'continue', 'non', 'recur', 'item', 'relate', 'takeover', 'process', 'lower', 'earning']","['baltic_country', 'recur_item', 'lower_earning']",[],negative
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .","['earning', 'share', 'quarter', 'come', 'eur', 'eur', 'quarter', 'year', 'early']",['same_quarter'],[],positive
"'' Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .","['installation', 'automatic', 'varnishing', 'line', 'important', 'company', 'strategy', 'region', 'central', 'eastern', 'say', 'director']","['automatic_varnishing', 'automatic_varnishing_line', 'important_part']",['Jozef_Misurec/PERSON'],positive
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .","['airline', 'estimate', 'cancellation', 'flight', 'closure', 'european', 'airspace', 'process', 'recommence', 'traffic', 'cause', 'company', 'loss', 'm', 'include', 'cost', 'strand', 'passenger', 'accommodation']","['european_airspace', 'recommence_traffic', 'strand_passenger']",[],negative
"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .","['combine', 'producer', 'create', 'strong', 'base', 'fertilizer', 'industry', 'capable', 'meet', 'global', 'competition', 'add']","['base_fertilizer', 'base_fertilizer_industry', 'global_competition']",[],positive
"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .","['business', 'area', 'provide', 'container', 'handling', 'solution', 'award', 'order', 'rubber', 'tyre', 'gantry', 'rtg', 'crane']","['provide_container', 'provide_container_handling', 'provide_container_handling_solution', 'tyre_gantry', 'tyre_gantry_rtg', 'tyre_gantry_rtg_crane']","['Kalmar/PERSON', 'Vietnam/GPE']",positive
"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .","['launch', 'new', 'g', 'handset', 'aim', 'winner', 'g', 'market', 'g', 'market']",[],['China/GPE'],positive
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .","['net', 'sale', 'rise', 'corresponding', 'period']","['net_sale', 'corresponding_period']",[],positive
Revenues at the same time grew 14 percent to 43 million euros .,"['revenue', 'time', 'grow', 'percent', 'euro']",['same_time'],[],positive
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .","['operate', 'profit', 'exclude', 'non', 'recurring', 'item', 'total', 'mn', 'corresponding', 'period']","['operate_profit', 'recurring_item', 'corresponding_period']",[],negative
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .","['baltic', 'country', 'sale', 'fall', 'term', 'euro', 'term', 'local', 'currency']","['baltic_country', 'local_currency']",['Russia/GPE'],negative
"The poorest index figure was given to Finnish power company Fortum , 4.5 .","['poor', 'index', 'figure', 'give', 'finnish', 'power', 'company']","['poor_index', 'poor_index_figure', 'finnish_power', 'finnish_power_company']",['Fortum/GPE'],negative
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .","['national', 'carrier', 'carry', 'record', 'passenger', 'increase', 'percent', 'previous', 'year', 'airline', 'report']","['national_carrier', 'previous_year']",['Finland/GPE'],positive
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .","['investor', 'continue', 'interested', 'company', 'share', 'cheap', 'say']",[],['Affarsvarlden/PERSON'],positive
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,"['fair', 'value', 'company', 'investment', 'property', 'go', 'end', 'year', 'early']",['fair_value'],[],negative
The airline 's share price closed down slightly at ( x20ac ) 12.51 ( $ 15US .74 ) in Helsinki .,"['airline', 'share', 'price', 'close', 'slightly']",[],['Helsinki/GPE'],negative
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,"['diluted', 'loss', 'share', 'narrow']",['diluted_loss'],[],positive
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,"['low', 'capacity', 'utilisation', 'rate', 'steel', 'production', 'considerably', 'increase', 'fix', 'cost', 'unit', 'steel', 'produce']","['low_capacity', 'low_capacity_utilisation', 'low_capacity_utilisation_rate', 'fix_cost']",[],negative
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .","['revenue', 'quarter', 'total', 'percent', 'fourth', 'quarter']",['fourth_quarter'],[],negative
"ADP News May 29 , 2009 Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL STERV and on Finnish sector player UPM-Kymmene Oyj HEL UPM1V to '' underperf","['downgrade', 'today', 'rating', 'swedish', 'finnish', 'paper', 'maker', 'finnish', 'sector', 'player', 'underperf']","['downgrade_today', 'finnish_paper', 'finnish_paper_maker', 'finnish_sector', 'finnish_sector_player']",['Stora_Enso/PERSON'],negative
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,"['net', 'sale', 'fiscal', 'year', 'low', 'operating', 'profit', 'estimate', 'negative']","['net_sale', 'fiscal_year']",[],negative
And U.S. energy executives say high steel prices are threatening energy exploration .,"['energy', 'executive', 'high', 'steel', 'price', 'threaten', 'energy', 'exploration']","['high_steel', 'high_steel_price', 'threaten_energy', 'threaten_energy_exploration']",['U.S./GPE'],negative
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,"['current', 'reference', 'grade', 'instrument', 'challenge', 'operate', 'high', 'price', 'complexity', 'routine', 'use']","['current_reference', 'current_reference_grade', 'current_reference_grade_instrument', 'high_price', 'routine_use']",[],negative
"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .","['finnish', 'airline', 'win', 'deal', 'public', 'sector', 'official', 'airline', 'flight', 'flight']","['finnish_airline', 'public_sector', 'official_airline']","['UK/GPE', 'London/GPE', 'Heathrow/GPE', 'Osaka/GPE', 'Japan/GPE', 'Manchester/GPE', 'UK/GPE', 'Helsinki/GPE', 'Finland/GPE']",positive
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .","['slip', 'net', 'loss', 'm', 'profit', 'm', 'previous', 'year']","['net_loss', 'previous_year']",[],negative
"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .","['finnish', 'lifting', 'equipment', 'maker', 'say', 'win', 'order', 'worth', 'mln', 'euro', 'mln', 'deliver', 'total', 'custom', 'design', 'elevator', 'norwegian', 'shipbuilder']","['finnish_lifting', 'finnish_lifting_equipment', 'finnish_lifting_equipment_maker', 'design_elevator', 'norwegian_shipbuilder']","['Kone_Oyj/PERSON', 'Aker_Yards_ASA/PERSON']",positive
"According to PKC , the acquisition would bring a significant addition to PKC 's customer base .","['accord', 'pkc', 'acquisition', 'bring', 'significant', 'addition', 'customer', 'base']",['significant_addition'],[],positive
"'' We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .","['analyze', 'find', 'business', 'fit', 'say', 'chief', 'executive', 'statement']",['chief_executive'],"['Sweden/GPE', 'Alandsbanken/GPE', 'Alandsbanken/PERSON', 'Peter_Wiklof/PERSON']",positive
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .","['kaupunkin', 'base', 'company', 'award', 'contract', 'electrical', 'installation', 'work']","['base_company', 'award_contract', 'electrical_installation', 'electrical_installation_work']","['Turun_kaupunkin/PERSON', 'Finland/GPE']",positive
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","['international', 'electronic', 'industry', 'company', 'lay', 'ten', 'employee', 'facility', 'contrary', 'early', 'layoff', 'company', 'contract', 'rank', 'office', 'worker', 'daily', 'report']","['electronic_industry', 'electronic_industry_company', 'early_layoff']",['Tallinn/GPE'],negative
The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,"['company', 'previous', 'estimate', 'low', 'revenue', 'year', 'ago']","['previous_estimate', 'low_revenue']",[],negative
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .","['operate', 'profit', 'net', 'sale', 'month', 'period', 'increase', 'respectively', 'm', 'm', 'compare', 'corresponding', 'period']","['operate_profit', 'net_sale', 'corresponding_period']",[],positive
"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .","['extension', 'new', 'contract', 'engine', 'plant', 'produce', 'say']",['new_contract'],[],positive
Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,"['own', 'percent', 'earn', 'bn', 'value', 'appreciation']",[],"['Stora_Enso/PERSON', 'Bergvik/GPE']",positive
"ADPnews Sep 28 , 2009 Finnish silicon wafers maker Okmetic Oyj HEL OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .","['finnish', 'silicon', 'wafer', 'maker', 'say', 'reduce', 'number', 'clerical', 'worker', 'worldwide', 'result', 'personnel', 'negotiation', 'complete', 'today']","['finnish_silicon', 'finnish_silicon_wafer', 'finnish_silicon_wafer_maker', 'clerical_worker', 'complete_today']",[],negative
"Currently , the company foresees its pre-tax profit to remain below the 2009 level when it reached EUR 700,000 USD 934,000 , compared with previous projections of a slightly better pre-tax profit .","['currently', 'company', 'foresee', 'pre', 'tax', 'profit', 'remain', 'level', 'reach', 'compare', 'previous', 'projection', 'slightly', 'well', 'pre', 'tax', 'profit']","['tax_profit', 'previous_projection', 'tax_profit']",[],negative
The transactions would increase earnings per share in the first quarter by some EUR0 .28 .,"['transaction', 'increase', 'earning', 'share', 'quarter']","['increase_earning', 'first_quarter']",[],positive
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .,"['describe', 'russian', 'tariff', 'hike', 'threat', 'future', 'forest', 'product', 'industry']","['russian_tariff', 'russian_tariff_hike']","['Jouko_Karvinen/PERSON', 'Finland/GPE']",negative
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .","['commercial', 'vessel', 'stick', 'narrow', 'ice', 'thick', 'island']",['commercial_vessel'],"['Bay_of_Bothnia/FAC', 'Aaland/PERSON']",negative
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,"['rise', 'cost', 'force', 'packaging', 'producer', 'axe', 'job', 'manufacturing', 'plant']","['rise_cost', 'force_packaging', 'force_packaging_producer']",['Hampshire/GPE'],negative
"Helsingin Uutiset , Vantaan Sanomat and Lansivayla reach some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region .","['reach', 'reader', 'consumer', 'great', 'region']",[],"['Helsingin_Uutiset/PERSON', 'Vantaan_Sanomat/PERSON', 'Lansivayla/PERSON', 'Helsinki/GPE']",positive
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,"['pretax', 'profit', 'decrease', 'fourth', 'quarter']","['pretax_profit', 'fourth_quarter']",[],negative
Those will be partially offset by a 186 mln eur gain on the sale of its Celbi pulp plant in Portugal .,"['partially', 'offset', 'mln', 'eur', 'gain', 'sale', 'pulp', 'plant']",[],"['Celbi/FAC', 'Portugal/GPE']",positive
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,"['say', 'estimate', 'saving', 'mln', 'year', 'centralise', 'french', 'operation', 'site']","['make_saving', 'french_operation']",[],positive
Lean System supports change management and component purchasing extremely well .,"['support', 'change', 'management', 'component', 'purchasing', 'extremely']","['support_change', 'support_change_management']",[],positive
The announced restructuring will significantly decrease the Company 's indebtedness .,"['announced', 'restructuring', 'significantly', 'decrease', 'indebtedness']",['announced_restructuring'],[],positive
"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .","['previously', 'communicate', 'estimate', 'reduction', 'employee', 'group', 'level']",['estimate_reduction'],[],negative
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords TECNOMEN-RESULTS,"['see', 'operating', 'profit', 'reporting', 'result']",[],[],negative
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,"['finnish', 'business', 'software', 'group', 'say', 'net', 'profit', 'halve', 'mln', 'euro', 'mln', 'month', 'mln', 'euro', 'mln', 'period']","['finnish_business', 'finnish_business_software', 'finnish_business_software_group', 'net_profit', 'same_period']",[],negative
Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .,"['win', 'large', 'glass', 'batch', 'plant', 'mortar', 'plant', 'order']","['large_glass', 'large_glass_batch', 'large_glass_batch_plant']","['Mexico/GPE', 'US/GPE']",positive
Salonen added that data shows producers ' pulp inventories in North America are declining . ',"['add', 'datum', 'show', 'producer', 'pulp', 'inventory', 'decline']",['show_producer'],[],negative
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .","['found', 'revenue', 'rise', 'average', 'margin', 'late', '30']",['late_30'],[],positive
"This is Done Logistics ' largest order in Norway , the diversified group said .","['large', 'order', 'diversified', 'group', 'say']","['large_order', 'diversified_group']",['Norway/GPE'],positive
"( ADP News ) Feb 11 , 2009 Finnish wood products technology supplier Raute Oyj ( HEL RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .","['finnish', 'wood', 'product', 'technology', 'supplier', 'say', 'today', 'net', 'profit', 'decrease', 'm']","['finnish_wood', 'finnish_wood_product', 'finnish_wood_product_technology', 'finnish_wood_product_technology_supplier', 'say_today', 'net_profit']",[],negative
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .","['report', 'quarter', 'net', 'loss', 'euro86', 'compare', 'net', 'profit', 'euro120']","['net_loss', 'net_profit']",[],negative
"The negotiation has resulted in the reduction of 80 people in regular employment , around half of which will be covered with pension arrangements .","['negotiation', 'result', 'reduction', 'people', 'regular', 'employment', 'half', 'cover', 'pension', 'arrangement']",['regular_employment'],[],negative
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","['subscriber', 'base', 'increase', 'user', 'market', 'share', 'number', 'customer', 'amount', 'late', 'late', 'accord', 'estimate']",[],[],positive
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .","['car', 'import', 'retailing', 'business', 'see', 'sale', 'grow', 'pct']",['see_sale'],['Kesko/PERSON'],positive
Ramirent is a leading company in machinery and equipment rentals for construction and industry .,"['lead', 'company', 'machinery', 'equipment', 'rental', 'construction', 'industry']",['lead_company'],[],positive
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .","['net', 'sale', 'quarter', 'estimate', 'eur0.9', 'm', 'compare', 'm', 'quarter']","['net_sale', 'first_quarter', 'first_quarter']",[],negative
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .","['far', 'norwegian', 'reduce', 'staff', 'level', 'people', 'plan', 'reduce', 'production', 'ton', 'finnish', 'swedish', 'cut', 'staff', 'people', 'production', 'ton']","['reduce_production', 'cut_staff']","['Norske_Skog/PERSON', 'Stora_Enso/PERSON']",negative
The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .,"['company', 'estimate', 'net', 'sale', 'increase', 'considerably', 'operating', 'result', 'clearly', 'positive']",['net_sale'],[],positive
Finnish food company Raisio Oyj HEL RAIVV said today it will buy British snacks and confectionery company Big Bear Group plc for an enterprise value of EUR 95.3 million USD 129.9 m .,"['finnish', 'food', 'company', 'say', 'today', 'buy', 'british', 'snack', 'confectionery', 'company', 'enterprise', 'value', 'm']","['finnish_food', 'finnish_food_company', 'say_today', 'british_snack']",['Raisio_Oyj_HEL_RAIVV/PERSON'],positive
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier .","['market', 'share', 'shrink', 'cent', 'cent', 'year', 'early']",[],[],negative
"Operating profits in the half were 0.8 m , down from 0.9 m as Glisten invested in the brand and the management team .","['operate', 'profit', 'half', 'm', 'm', 'invest', 'brand', 'management', 'team']",['operate_profit'],['Glisten/PERSON'],negative
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .","['raise', 'holding', 'company', 'summer', 'majority']",[],[],positive
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .","['capacity', 'cut', 'passenger', 'load', 'factor', 'percentage', 'point']",[],[],negative
"ADPnews Aug 3 , 2009 Finnish media group Ilkka-Yhtyma Oyj HEL ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .","['finnish', 'media', 'group', 'say', 'today', 'net', 'profit', 'fall', 'year', 'm', 'half']","['finnish_media', 'finnish_media_group', 'say_today', 'net_profit', 'first_half']",[],negative
"The total headcount reduction will be 50 persons , the company said .","['total', 'headcount', 'reduction', 'person', 'company', 'say']","['total_headcount', 'total_headcount_reduction']",[],negative
The total number of filling stations has been on the decrease recently .,"['total', 'number', 'fill', 'station', 'decrease', 'recently']","['total_number', 'fill_station']",[],negative
Small investors have voiced fears that the shares will end up with risk investors .,"['small', 'investor', 'voice', 'fear', 'share', 'end', 'risk', 'investor']","['small_investor', 'voice_fear']",[],negative
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .","['operate', 'profit', 'total', 'mn', 'corresponding', 'period']","['operate_profit', 'corresponding_period']",[],negative
Shareholders of Rakvere Lihakombinaat decided in favor of the buyout of minority shares in mid-July .,"['shareholder', 'decide', 'favor', 'buyout', 'minority', 'share']",[],['Lihakombinaat/PERSON'],positive
"By cutting the number of plants , the group will trim fixed costs .","['cut', 'number', 'plant', 'group', 'trim', 'fixed', 'cost']",['fixed_cost'],[],positive
"It currently employs about 750 people and expects headcount to reach 1,000 by end of 2007 .","['currently', 'employ', 'people', 'expect', 'headcount', 'reach', 'end']",['expect_headcount'],[],positive
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,"['operate', 'profit', 'compare']",['operate_profit'],[],negative
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .","['period', 'end', 'cash', 'cash', 'equivalent', 'total', 'm', 'compare', 'm', 'previous', 'year']",['previous_year'],[],negative
"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''","['thanksto', 'improvement', 'demand', 'adjustment', 'theutilization', 'rate', 'fleet', 'substantiallyimprove']",[],['Cramo/FAC'],positive
